KODE,KATEGORI OBJEK,TAHUN LELANG,PROVINSI,KOTA,KPKNL,kategori_lokasi_jan_jun,kategori_lokasi_jul_des,MEREK,TIPE,TAHUN PEMBUATAN,WARNA, HARGA LAKU 
GOZDYE,Mobil ,2024,DKI JAKARTA,KOTA JAKARTA PUSAT,KPKNL Jakarta II,2,2,Toyota,Kijang KF70 Short SX,1998,Hitam,10665000
T1CESC,Motor ,2024,SUMATERA BARAT,KABUPATEN TANAH DATAR,KPKNL Bukittinggi,3,3,Yamaha,Mio 125 type SE88,2016,Putih,6589920
OA3IRF,Mobil ,2024,DKI JAKARTA,KOTA JAKARTA PUSAT,KPKNL Jakarta II,2,2,Toyota, Kijang KF80 LG,1997,Biru Metalik,19905000
Y2IBXC,Mobil ,2024,DKI JAKARTA,KOTA JAKARTA PUSAT,KPKNL Jakarta II,2,2,Toyota,Kijang KF80 LSX Long,1998,Hijau Metalik,22779000
CYBQJO,Mobil ,2024,SUMATERA BARAT,KOTA PADANG,KPKNL Padang,3,3,Toyota,Kijang Innova E,2008,Silver Metalik,65575000
I35QME,Mobil ,2024,SUMATERA BARAT,KOTA PADANG,KPKNL Padang,3,3,Toyota,Kijang Innova E,2008,Silver Metalik,57194000
DWNR3Y,Mobil ,2024,SUMATERA BARAT,KOTA PADANG,KPKNL Padang,3,3,Toyota,Kijang Innova V,2013,Hitam Metalik,141241000
8BS2VM,Mobil ,2024,SUMATERA BARAT,KOTA PADANG,KPKNL Padang,3,3,Toyota,Kijang Innova G,2014,Hitam Metalik,74612000
LGBW1N,Mobil ,2024,SUMATERA BARAT,KOTA PADANG,KPKNL Padang,3,3,Mitsubishi,Colt L300 DB,2002,Putih,32998000
HGKDU2,Mobil ,2024,SUMATERA BARAT,KOTA PADANG,KPKNL Padang,3,3,Toyota,Avanza 1300 G,2007,Hitam Metalik,62932000
DBAVO5,Mobil ,2024,SUMATERA BARAT,KOTA PADANG,KPKNL Padang,3,3,Mitsubishi, Colt L300,1991,Krem,9167000
N3BNXB,Mobil ,2024,SUMATERA BARAT,KOTA PADANG,KPKNL Padang,3,3,Toyota,Innova E,2013,Putih,93792000
9D6FUS,Mobil ,2024,SUMATERA BARAT,KOTA PADANG,KPKNL Padang,3,3,Toyota,Innova G,2014,Hitam Metalik,131798000
K4Q6LH,Mobil ,2024,SUMATERA BARAT,KOTA PADANG,KPKNL Padang,3,3,Toyota,Innova E,2009,Abu - abu Metalik,65688000
GSJYK7,Mobil ,2024,SUMATERA BARAT,KOTA PADANG,KPKNL Padang,3,3,Mitsubishi,L300,1995,Putih,12475000
NPV1KW,Motor ,2024,SUMATERA BARAT,KOTA PADANG,KPKNL Padang,3,3,Suzuki,Thunder 125,2006,Biru,2545500
OTMHOI,Mobil ,2024,SUMATERA BARAT,KOTA PADANG,KPKNL Padang,3,3,Mitsubishi,Colt L300 DB,2003,Putih,30994000
MKGL4Y,Mobil ,2024,SUMATERA BARAT,KOTA PADANG,KPKNL Padang,3,3,Toyota,Innova G,2015,Hitam Metalik,104354000
LLYWGS,Mobil ,2024,SUMATERA BARAT,KOTA PADANG,KPKNL Padang,3,3,Mitsubishi,L300 BC,2007,Putih Kombinasi,45982000
B6YOVM,Mobil ,2024,SUMATERA BARAT,KOTA PADANG,KPKNL Padang,3,3,Toyota,Innova G,2007,Hitam Metalik,60665000
ALTSXK,Mobil ,2024,SUMATERA BARAT,KOTA PADANG,KPKNL Padang,3,3,Toyota, Kijang STANDAR KF 80 LONG,2004,Putih,35306000
ILC8Y6,Mobil ,2024,SUMATERA BARAT,KOTA PADANG,KPKNL Padang,3,3,Toyota,Innova G,2014,Hitam Metalik,105936000
DJES3M,Mobil ,2024,SUMATERA BARAT,KOTA PADANG,KPKNL Padang,3,3,Toyota,Innova E,2013,Putih,102416000
DCAW8J,Mobil ,2024,SUMATERA BARAT,KOTA PADANG,KPKNL Padang,3,3,Toyota,KF40,1991,Biru Malam,13596000
1LTUJD,Mobil ,2024,SUMATERA BARAT,KOTA PADANG,KPKNL Padang,3,3,Ford,Ranger 2.5 L,2007,Hijau,51575000
V4NDKN,Mobil ,2024,SUMATERA BARAT,KOTA PADANG,KPKNL Padang,3,3,Toyota,Innova E,2009,Hitam Metalik,65937000
XISGVW,Mobil ,2024,SUMATERA BARAT,KOTA PADANG,KPKNL Padang,3,3,Mitsubishi,Kuda,2005,Orange Krim,27590000
TJLWKO,Mobil ,2024,SUMATERA BARAT,KOTA PADANG,KPKNL Padang,3,3,Toyota,Innova E,2013,Putih,105348000
XS2LKA,Mobil ,2024,SUMATERA BARAT,KOTA PADANG,KPKNL Padang,3,3,Toyota,TOYOTA KF 80,2002,Hitam,26907000
XICM8A,Motor ,2024,SUMATERA BARAT,KOTA PADANG,KPKNL Padang,3,3,Suzuki,TUNDER EN 125,2007,Biru,1314000
PAAHB7,Mobil ,2024,SUMATERA BARAT,KOTA PADANG,KPKNL Padang,3,3,Toyota,Innova E,2013,Hitam Metalik,69839000
YXESKM,Mobil ,2024,SUMATERA BARAT,KOTA PADANG,KPKNL Padang,3,3,Toyota,Innova G,2014,Hitam Metalik,137197000
YNXIWM,Mobil ,2024,SUMATERA BARAT,KOTA PADANG,KPKNL Padang,3,3,Toyota,Innova V,2009,Hitam Metalik,69310000
QAHGIP,Mobil ,2024,SUMATERA BARAT,KOTA PADANG,KPKNL Padang,3,3,Toyota,Innova G,2012,Abu - abu Metalik,102890000
VIAAWM,Mobil ,2024,SUMATERA BARAT,KOTA PADANG,KPKNL Padang,3,3,Isuzu,PANTHER,1993,Putih,28700000
UPGBRN,Mobil ,2024,SUMATERA BARAT,KOTA PADANG,KPKNL Padang,3,3,Toyota,Innova G,2015,Hitam Metalik,146720000
TR5NOG,Mobil ,2024,SUMATERA BARAT,KOTA PADANG,KPKNL Padang,3,3,Toyota,Innova E,2013,Putih,93908000
T0A7DN,Mobil ,2024,SUMATERA BARAT,KOTA PADANG,KPKNL Padang,3,3,Toyota,Innova E,2009,Hitam Metalik,56796000
OJASVF,Mobil ,2024,SUMATERA BARAT,KOTA PADANG,KPKNL Padang,3,3,Mitsubishi,Kuda Grandia,2005,Coklat Krem,32180000
