KODE,KATEGORI OBJEK,TAHUN LELANG,PROVINSI,KOTA,KPKNL,kategori_lokasi_jan_jun,kategori_lokasi_jul_des,MEREK,TIPE,TAHUN PEMBUATAN,WARNA, HARGA LAKU 
IDLE1C,Motor ,2022,SULAWESI TENGAH,KABUPATEN BANGGAI,KPKNL Palu,3,3,Suzuki,Shogun RR,2007,Hitam Biru,3680000
BOC6VN,Motor ,2022,LAMPUNG,KABUPATEN TANGGAMUS,KPKNL Bandar Lampung,3,3,Honda,MCB,2002,Hitam,4356789
O2SAT5,Motor ,2022,LAMPUNG,KABUPATEN TANGGAMUS,KPKNL Bandar Lampung,3,3,Honda,GLP II,1997,Hitam,3333333
DWBE1J,Motor ,2022,SULAWESI TENGAH,KABUPATEN BANGGAI,KPKNL Palu,3,3,Suzuki,Shogun RR,2007,Hitam Biru,1925000
DKPOAV,Mobil ,2022,SULAWESI TENGAH,KABUPATEN BANGGAI,KPKNL Palu,3,3,Toyota,Innova G,2012,Hitam Metalik,121650000
MRTGS5,Motor ,2022,SULAWESI TENGAH,KABUPATEN BANGGAI,KPKNL Palu,3,3,Yamaha,Jupiter MX,2008,Abu - abu ,3197000
CXKS1C,Motor ,2022,LAMPUNG,KABUPATEN TANGGAMUS,KPKNL Bandar Lampung,3,3,Honda,ND 125 Kirana,2004,Hitam,1766996
0T9L5E,Mobil ,2022,SULAWESI TENGAH,KABUPATEN BANGGAI,KPKNL Palu,3,3,Toyota,Avanza G,2011,Abu - abu Metalik,41200000
H25OL3,Motor ,2022,SULAWESI TENGAH,KABUPATEN BANGGAI,KPKNL Palu,3,3,Suzuki,Shogun RR,2008,Hitam Biru,2768999
EBPOQU,Motor ,2022,LAMPUNG,KABUPATEN TANGGAMUS,KPKNL Bandar Lampung,3,3,Suzuki,FD 100 XCSD Smash,2005,Merah Silver,2175000
N49WTL,Motor ,2022,SULAWESI TENGAH,KABUPATEN BANGGAI,KPKNL Palu,3,3,Suzuki,Shogun RR,2007,Hitam Biru,2877999
C1CDHQ,Motor ,2022,LAMPUNG,KABUPATEN TANGGAMUS,KPKNL Bandar Lampung,3,3,Honda,GLM,1999,Hitam,3500000
HRFTJB,Motor ,2022,SULAWESI TENGAH,KABUPATEN BANGGAI,KPKNL Palu,3,3,Suzuki,Shogun RR,2008,Hitam Biru,5035000
2EPZ6Q,Motor ,2022,SULAWESI TENGAH,KABUPATEN BANGGAI,KPKNL Palu,3,3,Suzuki,Shogun RR,2007,Hitam Biru,2500000
61A7M3,Motor ,2022,LAMPUNG,KABUPATEN TANGGAMUS,KPKNL Bandar Lampung,3,3,Honda,C 100,1999,Hitam,1333333
PBA21C,Mobil ,2022,SULAWESI TENGAH,KABUPATEN BANGGAI,KPKNL Palu,3,3,Toyota,Kijang ,2004,Cokelat,17777000
HUBOLQ,Motor ,2022,LAMPUNG,KABUPATEN TANGGAMUS,KPKNL Bandar Lampung,3,3,Honda,C 100,1997,Hitam,1678910
41YRQ7,Mobil ,2022,SULAWESI TENGAH,KABUPATEN BANGGAI,KPKNL Palu,3,3,Toyota,Kijang ,2002,Merah,13300000
4AMH0S,Motor ,2022,SULAWESI TENGAH,KABUPATEN BANGGAI,KPKNL Palu,3,3,Suzuki,Shogun RR,2007,Merah Hitam,2650000
PESDZ1,Mobil ,2022,SULAWESI TENGAH,KABUPATEN BANGGAI,KPKNL Palu,3,3,Toyota,Avanza G,2011,Abu - abu Metalik,62999999
VI42KF,Motor ,2022,LAMPUNG,KABUPATEN TANGGAMUS,KPKNL Bandar Lampung,3,3,Honda,C 100,2000,Hitam,2500000
0FWF5N,Motor ,2022,LAMPUNG,KABUPATEN TANGGAMUS,KPKNL Bandar Lampung,3,3,Suzuki,Smash FD,2005,Hitam Silver,1310000
ILGXYD,Motor ,2022,SULAWESI TENGAH,KABUPATEN BANGGAI,KPKNL Palu,3,3,Suzuki,Shogun RR,2007,Hitam Biru,2687999
PW7F10,Motor ,2022,SULAWESI TENGAH,KABUPATEN BANGGAI,KPKNL Palu,3,3,Suzuki,Thunder,2007,Biru,2700459
ZIN9X3,Motor ,2022,LAMPUNG,KABUPATEN TANGGAMUS,KPKNL Bandar Lampung,3,3,Honda,C 100,1997,Hitam,2211216
ZSY3ZO,Motor ,2022,LAMPUNG,KABUPATEN TANGGAMUS,KPKNL Bandar Lampung,3,3,Suzuki,A 100 X,1995,Merah,1250000
BEA6M9,Motor ,2022,SULAWESI TENGAH,KABUPATEN BANGGAI,KPKNL Palu,3,3,Suzuki,Shogun RR,2007,Hitam Biru,3500099
2VWMJO,Motor ,2022,SULAWESI TENGAH,KABUPATEN BANGGAI,KPKNL Palu,3,3,Suzuki,Shogun SP,2006,Merah Hitam,3500000
ZGT1BE,Motor ,2022,LAMPUNG,KABUPATEN TANGGAMUS,KPKNL Bandar Lampung,3,3,Honda,NF 100,2006,Silver ,1678910
7CTYZL,Mobil ,2022,DKI JAKARTA,KOTA JAKARTA PUSAT,KPKNL Jakarta III,2,2,Toyota,Innova J,2009,Hitam Silver,82500000
NUKZCW,Motor ,2022,DKI JAKARTA,KOTA JAKARTA PUSAT,KPKNL Jakarta II,2,2,Honda,Supra X 125 D,2007,Hitam,2298000
UQL0VN,Motor ,2022,DKI JAKARTA,KOTA JAKARTA PUSAT,KPKNL Jakarta II,2,2,Honda,Supra X 125 D,2007,Hitam,2247000
W0EBFI,Motor ,2022,DKI JAKARTA,KOTA JAKARTA PUSAT,KPKNL Jakarta II,2,2,Honda,Supra X 125 CW Injection,2006,Orange Putih,3695000
Q9UJU6,Motor ,2022,DKI JAKARTA,KOTA JAKARTA PUSAT,KPKNL Jakarta II,2,2,Honda,Supra X 125 D,2007,Hitam,3150000
XCVIJZ,Motor ,2022,DKI JAKARTA,KOTA JAKARTA PUSAT,KPKNL Jakarta II,2,2,Honda,Supra X 125 D,2007,Hitam,2647000
ZMWTO7,Motor ,2022,DKI JAKARTA,KOTA JAKARTA PUSAT,KPKNL Jakarta II,2,2,Honda,Supra X 125 D,2007,Hitam,2457000
XRTHHQ,Motor ,2022,DKI JAKARTA,KOTA JAKARTA PUSAT,KPKNL Jakarta II,2,2,Honda,Supra X 125 D,2007,Hitam,2247000
WEDP1F,Motor ,2022,DKI JAKARTA,KOTA JAKARTA PUSAT,KPKNL Jakarta II,2,2,Honda,Supra X 125 D,2007,Hitam,2450000
Y3SH7V,Motor ,2022,DKI JAKARTA,KOTA JAKARTA PUSAT,KPKNL Jakarta II,2,2,Honda,Supra X 125 D,2007,Hitam,2601000
KTZUDV,Motor ,2022,DKI JAKARTA,KOTA JAKARTA PUSAT,KPKNL Jakarta II,2,2,Honda,Supra X 125 D,2007,Hitam,3296000
OLPWFT,Motor ,2022,DKI JAKARTA,KOTA JAKARTA PUSAT,KPKNL Jakarta II,2,2,Honda,Supra X 125 D,2007,Hitam,2433000
BZR7XC,Motor ,2022,DKI JAKARTA,KOTA JAKARTA PUSAT,KPKNL Jakarta II,2,2,Honda,Supra X 125 D,2007,Hitam,2447000
BVZN8T,Motor ,2022,DKI JAKARTA,KOTA JAKARTA PUSAT,KPKNL Jakarta II,2,2,Honda,Supra X 125 D,2007,Hitam,2198000
EOC7YW,Motor ,2022,DKI JAKARTA,KOTA JAKARTA PUSAT,KPKNL Jakarta II,2,2,Honda,Supra X 125 D,2007,Hitam,1955000
F6SKZX,Motor ,2022,DKI JAKARTA,KOTA JAKARTA PUSAT,KPKNL Jakarta II,2,2,Honda,Supra X 125 D,2007,Hitam,3250000
CFIRYQ,Motor ,2022,DKI JAKARTA,KOTA JAKARTA PUSAT,KPKNL Jakarta II,2,2,Honda,Supra X 125 D,2007,Hitam,2347000
IJUPLF,Mobil ,2022,BANTEN,KOTA TANGERANG,KPKNL Tangerang II,2,4,Suzuki,GC415V APV DLX MT,2006,Biru Metalik,49519999
YV4SP6,Mobil ,2022,BANTEN,KOTA TANGERANG,KPKNL Tangerang II,2,4,Suzuki,GC415V APV DLX MT,2006,Biru Metalik,48629999
8OWL2O,Mobil ,2022,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,KPKNL Samarinda,3,3,Toyota,KF 70,1999,Abu - abu Metalik,7081000
YDPPEI,Motor ,2022,DKI JAKARTA,KOTA JAKARTA PUSAT,KPKNL Jakarta II,2,2,Suzuki,Thunder EN 125,2006,Hitam,1515151
CWXJTO,Mobil ,2022,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,KPKNL Samarinda,3,3,Ford,Ranger XLT3,2007,Silver Metalik,38289000
HST4MG,Mobil ,2022,JAWA BARAT,KOTA SUKABUMI,KPKNL Bogor,1,4,Daihatsu,Xenia F 600,2017,Merah Metalik,100550000
OVRGJ3,Mobil ,2022,DKI JAKARTA,KOTA JAKARTA PUSAT,KPKNL Jakarta II,2,2,Suzuki,APV DLX GC425V,2007,Hitam Metalik,38199999
GFKZ2B,Mobil ,2022,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,KPKNL Samarinda,3,3,Toyota,Innova E MT,2005,Hitam Metalik,49423000
OWETBF,Mobil ,2022,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,KPKNL Samarinda,3,3,Mitsubishi,L 300 Diesel,2005,Putih,11979000
NVBWGQ,Mobil ,2022,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,KPKNL Samarinda,3,3,Toyota,KF 70,1999,Abu - abu Metalik,13081000
BMYDXN,Mobil ,2022,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,KPKNL Samarinda,3,3,Toyota,KF 70,2000,Hijau Metalik,9408000
LZ9HSU,Mobil ,2022,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,KPKNL Samarinda,3,3,Toyota,Kijang  Super KF 70 Short   ,1999,Abu - abu Metalik,9814000
UPVKOM,Mobil ,2022,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,KPKNL Samarinda,3,3,Suzuki,ST 150 ,2008,Hitam,11217000
WOI9UX,Mobil ,2022,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,KPKNL Samarinda,3,3,Toyota,KF 70,2000,Biru Metalik,8981000
ERO4XJ,Mobil ,2022,DKI JAKARTA,KOTA JAKARTA PUSAT,KPKNL Jakarta II,2,2,Toyota,KF 80,1998,Biru Metalik,22679000
3ZZXKN,Mobil ,2022,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA,KPKNL Samarinda,3,3,Ford,Ranger DC XLT 2.2L MT  ,2007,Hitam Metalik,21711000
XKLNTW,Mobil ,2022,DKI JAKARTA,KOTA JAKARTA PUSAT,KPKNL Jakarta II,2,2,Toyota,KF 80,1999,Hijau Metalik,31283000
E6OSUS,Motor ,2022,DI YOGYAKARTA,KOTA YOGYAKARTA,KPKNL Yogyakarta,3,3,Honda,GLM II,1999,Hitam,5678999
GSMTXC,Mobil ,2022,SUMATERA SELATAN,KABUPATEN MUSI RAWAS UTARA,KPKNL Lahat,3,3,Toyota,KF 60,2003,Hijau,18566000
LLXPNV,Mobil ,2022,BENGKULU,KOTA BENGKULU,KPKNL Bengkulu,3,3,Toyota,KF 60,2006,Hitam,27664000
W6C7XP,Mobil ,2022,BENGKULU,KOTA BENGKULU,KPKNL Bengkulu,3,3,Suzuki,APV,2007,Hitam,30072000
57QV1N,Mobil ,2022,BENGKULU,KOTA BENGKULU,KPKNL Bengkulu,3,3,Suzuki,APV,2006,Abu - abu Metalik,23856000
J10OGE,Mobil ,2022,JAWA TIMUR,KOTA SURABAYA,KPKNL Surabaya,1,2,Daihatsu,S91 ESPASS,1997,Hitam,19000000
6XCGBL,Mobil ,2022,JAWA TIMUR,KOTA SURABAYA,KPKNL Surabaya,1,2,Toyota,Corona ST 191,1997,-,8900000
AODSQF,Mobil ,2022,JAWA TIMUR,KOTA SURABAYA,KPKNL Surabaya,1,2,Honda,CRV RD5 2WD AT,2006,Hitam,45400000
TXNQP8,Mobil ,2022,JAWA TIMUR,KOTA SURABAYA,KPKNL Surabaya,1,2,Toyota,KF 25,1996,-,27700000
T1WPDG,Mobil ,2022,JAWA TIMUR,KOTA SURABAYA,KPKNL Surabaya,1,2,Nissan,X Trail 2.5 XT/AT,2005,-,45000000
OB7UDT,Mobil ,2022,JAWA TIMUR,KOTA SURABAYA,KPKNL Surabaya,1,2,Toyota,KF 60 STD,1997,-,55600000
AENLWV,Mobil ,2022,JAWA TIMUR,KOTA SURABAYA,KPKNL Surabaya,1,2,Toyota,KF 80,2003,-,31800000
CAWUXQ,Mobil ,2022,JAWA TIMUR,KOTA SURABAYA,KPKNL Surabaya,1,2,Toyota,Corona ST 191,1997,-,9100000
HXEF1B,Mobil ,2022,JAWA TIMUR,KOTA SURABAYA,KPKNL Surabaya,1,2,Toyota,KF 52 SPR,1996,-,13000000
5CZXOG,Mobil ,2022,JAWA TIMUR,KOTA SURABAYA,KPKNL Surabaya,1,2,Toyota,Camry 30L V AT,2004,-,44550000
EKRPTZ,Mobil ,2022,JAWA TIMUR,KOTA SURABAYA,KPKNL Surabaya,1,2,Toyota,Corolla AE 112 MT,1999,-,16400000
7LIOW0,Mobil ,2022,JAWA TIMUR,KOTA SURABAYA,KPKNL Surabaya,1,2,Nissan,Terrano Road,2004,-,68100000
HSIPWB,Mobil ,2022,JAWA TIMUR,KOTA SURABAYA,KPKNL Surabaya,1,2,Volvo,ES90 Excel,1998,-,22350000
ISUACA,Mobil ,2022,JAWA TIMUR,KOTA SURABAYA,KPKNL Surabaya,1,2,Honda,FD2 2.0 AT,2006,Abu - abu Metalik,111500000
CJI8BW,Mobil ,2022,JAWA TIMUR,KOTA SURABAYA,KPKNL Surabaya,1,2,Toyota,Camry 24L G MT,2005,-,32350000
PER3OU,Mobil ,2022,JAWA TIMUR,KOTA SURABAYA,KPKNL Surabaya,1,2,Toyota,Corona ST 191,1999,-,11900000
4QT5KL,Mobil ,2022,JAWA TIMUR,KOTA SURABAYA,KPKNL Surabaya,1,2,Toyota,Corolla Altis 1.8 ,1999,-,19200000
AQP2S3,Mobil ,2022,JAWA TIMUR,KOTA SURABAYA,KPKNL Surabaya,1,2,Toyota,KF 52 SPR,1996,-,20900000
CWYUYJ,Mobil ,2022,JAWA TIMUR,KOTA SURABAYA,KPKNL Surabaya,1,2,Toyota,Corolla AE 101 MT,1993,-,26300000
YXAJ5W,Motor ,2022,JAMBI,KABUPATEN TANJUNG JABUNG BARAT,KPKNL Jambi,3,3,Honda,Beat 110 cc,2019,Putih,2842000
TPPNGF,Motor ,2022,SULAWESI BARAT,KABUPATEN PASANGKAYU,KPKNL Mamuju,3,3,Honda,Mega Pro Spoke,2010,Hitam,3600000
W4C2H9,Motor ,2022,SULAWESI BARAT,KABUPATEN PASANGKAYU,KPKNL Mamuju,3,3,Honda,Mega Pro CW/CL 160 CW,2009,Hitam,2167890
PD9POT,Mobil ,2022,JAMBI,KABUPATEN TANJUNG JABUNG BARAT,KPKNL Jambi,3,3,Toyota,Innova G ,2009,Cokelat,68826000
6NPYLM,Motor ,2022,KALIMANTAN BARAT,KOTA PONTIANAK,KPKNL Pontianak,3,3,Yamaha,RX King 135CC,2004,Abu - abu ,5710000
UBXNTH,Motor ,2022,ACEH,KABUPATEN ACEH TENGGARA,KPKNL Lhokseumawe,3,3,Honda,GL 160 D,2010,Hitam,4388888
KRI2NH,Motor ,2022,ACEH,KABUPATEN ACEH TENGGARA,KPKNL Lhokseumawe,3,3,Honda,NF 125 DS,2006,Hitam,2588888
XFOMKS,Motor ,2022,ACEH,KABUPATEN ACEH TENGGARA,KPKNL Lhokseumawe,3,3,Honda,GL 160 D,2010,Hitam,4288888
D09SWM,Motor ,2022,DKI JAKARTA,KOTA JAKARTA TIMUR,KPKNL Jakarta III,2,2,Honda,Supra Fit 100 cc,2005,Hitam,1788888
AEWGOQ,Mobil ,2022,DKI JAKARTA,KOTA JAKARTA PUSAT,KPKNL Jakarta III,2,2,Toyota,Kijang  KF 52   ,1997,Biru,13567500
OIXUSR,Mobil ,2022,DKI JAKARTA,KOTA JAKARTA PUSAT,KPKNL Jakarta III,2,2,Toyota,Kijang  KF 42   ,1996,Biru Metalik,23750000
U02LHI,Mobil ,2022,JAWA TIMUR,KABUPATEN TUBAN,KPKNL Surabaya,1,2,Toyota,Kijang  KF 50 STD,1994,-,9350000
RDSMNK,Mobil ,2022,JAWA TIMUR,KABUPATEN TUBAN,KPKNL Surabaya,1,2,Toyota,Kijang  KF 50 STD,2004,-,17000000
RUNAH1,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,FL 125 SD,2008,Hitam,1857770
Y6MGC8,Mobil ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Toyota,Kijang  Super KF,2003,Abu - abu Metalik,21678999
FTCJKC,Mobil ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Toyota,Innova G,2007,Biru Metalik,57999999
G2OVVN,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,FD 125 XSD,2006,Biru Hitam,1355570
MFJRN8,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,FL 125 RCD ,2008,Hitam Biru,2287999
FYQCRY,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,FL 125 SD,2007,Hitam,1887770
HRZJSA,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,FL 125 SD,2008,Biru Hitam,1677700
GCNDYO,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,EN 125,2006,Biru,1357770
JUEPSY,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,FL 125 SD,2007,Merah,2487999
MTJ7PG,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,FL 125 SD,2008,Biru Hitam,1387888
HKN0VL,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,FL 125 SD,2007,Hitam,1687770
IBZKVO,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,TVS,Apache RTR 160   ,2010,Hitam,2555555
2NEE3T,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,FL 125 SD,2007,Biru Hitam,2388999
WCT1LO,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,EN 125,2006,Biru,1588800
JNJGKA,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,FL 125 SD,2007,Biru Hitam,2447999
XSHVZG,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,EN 125,2006,Biru,1588800
ZAH0RX,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,EN 125 A,2008,Biru,1777700
YP2Q3L,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,EN 125 Thunder,2006,Biru,1588800
UEVY0C,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,EN 125 A,2008,Biru,1588800
B82UXV,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,PL 126 SD,2008,Biru Hitam,1301000
UME1F5,Mobil ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Toyota,Kijang  Standar KF,2004,Putih,15050000
FEDJII,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,FL 125 SD,2008,Hitam,2388999
XQ31TF,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,EN 125,2006,Biru,1255555
ZAJRJV,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,FL 125 SD,2007,Hitam,1877770
XMIK0H,Mobil ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Toyota,Avanza G,2007,Hitam Metalik,47789999
8U1ICL,Mobil ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,APV SDX MT,2016,Putih Metalik,26028999
ZW3JDW,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,Fl 125 SD,2008,Hitam,2687999
6R0HYZ,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,EN 125 A,2008,Biru,1777770
PYDRAB,Mobil ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Toyota,"Rush 1,5 G",2007,Hitam Metalik,72999999
JWMDYH,Mobil ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Toyota,Kijang  Super KF,2000,Deep Teal Metalik,17777778
8KZZJM,Mobil ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Toyota,Rush 1.5 G,2007,Hitam Metalik,70999999
OGJM4R,Mobil ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Toyota,Standar,2004,Putih,30500000
CXKY3V,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,FD 110 XCSD,2003,Hitam,1555555
TJKQNY,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,FL 125 SD,2008,Biru Hitam,1265000
JBDSUX,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,EN 125 A,2008,Biru,1377700
GCZFXA,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,FK 110 SD K6 ,2008,Merah Hitam,2100000
GVMNKR,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,FD 125 XSD,2006,Biru Hitam,3389999
GLYAVJ,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,FK 110 SD KG,2007,Hitam,2100000
BRJHO6,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,FL 125 SD,2008,Biru Hitam,2389999
BGENWN,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,EN 125,2008,Biru,1777770
F1WTTK,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,FL 125 SD,2007,Hitam,1557770
S2CE3H,Mobil ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Ford,Ranger Double Cab Base 2.2 L (4x4) MT   ,2009,Biru,53789999
2PRHCT,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,EN 125 Thunder,2006,Biru,1657700
YSKFUA,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,FK 110 SCD K6 (New SMASH),2007,Biru Hitam,1555555
4WVWEY,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Viar,VR 150 V,2011,Hijau Putih,1558770
DO0JFN,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,EN 125 A,2008,Biru,1777770
Q9UFDM,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,EN 125,2006,Biru,1667770
2KDXE6,Mobil ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Toyota,Innova G,2007,Kuning Metalik,61555789
X7OMRC,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,FL 125 SD,2007,Hitam,1677770
UBDICT,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,FD 125 XSD,2006,Biru Hitam,1289999
6RHRZC,Mobil ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Toyota,Innova G,2008,Hitam Metalik,77999999
QMC7TX,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,FL 125 SD,2008,Hitam,2487999
CTGNVA,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,FD 110,2005,Merah Hitam,1555555
S39NOI,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,EN 125 A,2008,Biru,1588800
BLCXOK,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,FL 125 SD,2008,Biru Hitam,1272000
BZTQXZ,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,FD 125 XSD,2006,Biru Hitam,2576999
MWRQS7,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,FL 125 SD,2008,Hitam,1447770
CQYXTF,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,FL 125 SD,2007,Hitam,1687777
0OSXPV,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,FL 125 SD,2007,Hitam,1687770
0OPCVI,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,FD 125 XSD,2004,Ungu,2488999
7BJVSX,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,FD 110,2005,Biru Hitam,2100000
SRAU4T,Motor ,2022,SULAWESI SELATAN,KABUPATEN BULUKUMBA,KPKNL Makassar,3,3,Suzuki,EN 125 Thunder,2006,Biru,1588800
PHN0MX,Mobil ,2022,DKI JAKARTA,KOTA JAKARTA SELATAN,KPKNL Jakarta II,2,2,Isuzu,Panther LV 25,2003,Biru Tua Metalik,73452300
IOFMHR,Mobil ,2022,DKI JAKARTA,KOTA JAKARTA SELATAN,KPKNL Jakarta II,2,2,Toyota,Kijang  KF 80 Long STD,1999,Biru Metalik,30672500
QNL9X1,Motor ,2022,DKI JAKARTA,KOTA JAKARTA SELATAN,KPKNL Jakarta II,2,2,Honda,NF 125 SD,2006,Hitam,4600000
MLEWYT,Mobil ,2022,DKI JAKARTA,KOTA JAKARTA SELATAN,KPKNL Jakarta II,2,2,Suzuki,APV DLX GC415V,2006,Biru Metalik,50398000
EAT0YD,Mobil ,2022,DKI JAKARTA,KOTA JAKARTA SELATAN,KPKNL Jakarta II,2,2,Suzuki,APV DLX GC415V,2006,Biru Metalik,49999999
